#pattern	p-value	probability ratio	percentage k/M1&M2	 percentage k/M1&M3
('pour', 'que', 'comp:obj')	1.8974958757903108e-47	25.809621938654196	9.308510638297872	94.5945945945946
('ce', 'que', 'udep')	9.785898694899887e-30	23.343320984964045	6.117021276595745	88.46153846153845
('être', 'que', 'comp:obj@agent')	1.5301840025331812e-23	16.384044100757983	6.117021276595745	62.16216216216216
('avant', 'que', 'comp:obj')	6.158307419324602e-23	22.314445331205107	4.787234042553192	85.71428571428571
('être', 'bien', 'mod')	2.5828554039720942e-18	22.53970994475138	3.723404255319149	87.5
('afin', 'que', 'comp:obj')	9.945292471106819e-15	25.494535519125684	2.6595744680851063	100.0
('craindre', 'que', 'comp:obj')	2.5288683743969714e-13	25.427792915531334	2.393617021276596	100.0
('falloir', 'que', 'comp:obj')	6.4135675375671005e-12	25.36141304347826	2.127659574468085	100.0
('être', 'que', 'mod')	5.569901313858632e-11	22.541062801932366	2.127659574468085	88.88888888888889
('sembler', 'que', 'comp:obj')	9.508599596359547e-10	18.438735177865613	2.127659574468085	72.72727272727273
('sans', 'que', 'comp:obj')	4.09311268408705e-09	25.22972972972973	1.5957446808510638	100.0
('avoir', 'bien', 'mod')	1.0300080867557061e-07	25.164420485175203	1.3297872340425532	100.0
('pouvoir', 'que', 'mod')	1.0300080867557061e-07	25.164420485175203	1.3297872340425532	100.0
('demander', 'que', 'comp:obj')	5.975392886329884e-07	20.968104222821204	1.3297872340425532	83.33333333333334
('exiger', 'que', 'comp:obj')	2.0221915439104264e-06	17.97073546399692	1.3297872340425532	71.42857142857143
('souhaiter', 'que', 'comp:obj')	2.5852649209779646e-06	25.0994623655914	1.0638297872340425	100.0
('éviter', 'que', 'comp:obj')	2.5852649209779646e-06	25.0994623655914	1.0638297872340425	100.0
('vouloir', 'que', 'comp:obj')	5.214253080527872e-06	15.722708894878707	1.3297872340425532	62.5
('après', 'que', 'comp:obj')	3.88982617373535e-05	11.431021808380299	1.3297872340425532	45.45454545454545
('None', 'que', 'root')	6.47217260914001e-05	25.03485254691689	0.7978723404255319	100.0
('pouvoir', 'bien', 'mod')	6.47217260914001e-05	25.03485254691689	0.7978723404255319	100.0
('arriver', 'que', 'comp:obj@agent')	0.00025113110960266655	18.774128686327078	0.7978723404255319	75.0
('à', 'que', 'comp:obj')	0.0002771543849654891	11.149342891278375	1.0638297872340425	44.44444444444444
('que', 'que', 'conj')	0.0007719185622032423	3.6701678825700976	2.393617021276596	14.516129032258066
('fait', 'que', 'udep')	0.001113426082593646	4.30299424945469	1.8617021276595744	17.073170731707318
('attendre', 'que', 'comp:obj')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('étonner', 'que', 'comp:obl')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('permettre', 'que', 'mod')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('permettre', 'que', 'comp:obj')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('temps', 'que', 'udep')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('sembler', 'bien', 'mod')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('être', 'quoique', 'mod')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('imposer', 'que', 'mod')	0.0016161395721058438	24.970588235294116	0.5319148936170213	100.0
('admettre', 'que', 'comp:obj')	0.021767109905530865	8.319964349376113	0.5319148936170213	33.33333333333333
('vouloir', 'rien', 'comp:obj')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
('connaître', 'restaurant', 'comp:obj')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
('importer', 'que', 'mod')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
('catalyser', 'bien', 'mod')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
('que', 'recevoir', 'comp:obj')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
('trouver', 'que', 'mod')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
('valoir', 'que', 'comp:obj')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
('exclusion', 'bien', 'udep')	0.04025264960924955	24.906666666666666	0.26595744680851063	100.0
